food_code,food_name,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vite_mg,vitd2_ug,vitk1_ug,vitk2_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
H014,Linseeds (Linum usitatissimum),443.82,10.99,18.55,35.67,0.6,26.17,2968,5112,16147,257,445,349,32.93,655,5.44,1.34,46.87,0,2.14,0.02,4.86,8.28,0.55,19.17,0,86.5,0.28,0.05,1.09,0.37,0.35,21.25,86.5,0,92
H039,Okra (whole seed),0,0,21.1,17.9,0,23.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H010,"Gingelly seeds, brown (Sesamum indicum)",516.48,9.76,21.61,43.22,1.39,17.21,6250,15989,19078,1174,613,328,11.94,491,14.95,1.68,52.64,0.02,1.76,0.11,7.84,1.23,76.51,113,0,92.63,0.27,0.08,3.05,0.49,0.49,3.48,92.63,0,86.72
H009,"Gingelly seeds, black (Sesamum indicum)",507.64,10.29,19.17,43.1,0.99,17.16,6317,15605,19259,1664,568,390,15.91,480,13.9,1.76,15.7,0.03,2.53,0.08,8.59,1.09,67.83,110,0,127,0.34,0.1,3.12,0.49,0.64,3.06,127,0,60.78
H011,"Gingelly seeds, white (Sesamum indicum)",519.59,10.83,21.7,43.05,0.67,16.99,6430,16124,18597,1283,754,372,15.43,460,15.04,1.5,26.74,0.02,1.74,0.13,7.77,1.26,62.74,106,0,131,0.36,0.07,3.94,0.48,0.62,3.46,131,0,57.06
H006,"Coconut, kernal, dry (Cocos nucifera)",624.03,8.01,7.27,63.26,6.93,15.88,43138,3710,929,32,203,97.21,16.68,739,3.13,0.9,25.25,0.01,1.61,0.03,1.41,6.06,0,2.88,0,24.27,0.04,0.04,0.71,0.21,0.15,1.01,24.27,0,176
H036,Roselle seeds,399,30.9,20.9,21.3,0,15.5,0,0,0,300,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H013,Mustard seeds (Brassica nigra),509.55,16.8,19.51,40.19,5.07,14.1,2112,21032,8910,402,715,266,3.97,694,13.49,0.69,71.47,0.03,4.23,0.03,4.03,1.45,31.79,8.2,0,94.88,0.55,0.33,3.8,0.48,0.24,1.45,94.88,0,675
H019,Safflower seeds (Carthamus tinctorius),473.46,30.18,17.66,30.87,2.67,13.49,2548,3589,18781,211,644,321,3.05,550,4.06,0.56,6.33,0,0.56,0.02,3.9,35.09,1.91,8.8,0,82.41,0.85,0.15,1.12,0.89,0.93,17.37,82.41,0,142
H001,Almond (Prunus amygdalus),609.21,3.04,18.41,58.49,2.23,13.06,4358,38336,13215,228,446,318,1.5,699,4.59,1.08,3.61,0.01,2.54,0.03,3.5,25.86,1.61,8.4,0,36.46,0.15,0.26,3.71,0.73,0.09,2.39,36.46,0.74,11.31
H002,"Arecanut, dried, brown (Areca catechu)",350.61,70.42,5.78,4.35,1.76,11.44,2605,466,403,61,105,76.39,12.06,524,2.74,1.27,15.21,0.05,2.14,0.01,0.89,0.15,12.77,3.78,0,7.54,0.04,0.03,0.71,0.12,0.32,1.66,7.54,0,41.96
H003,"Arecanut, dried, red color (Areca catechu)",353,70.27,6.46,4.46,1.79,11.11,1674,987,918,51,127,91.01,17.13,617,3.26,1.57,12.52,0.03,2.32,0.02,1.02,0.15,12.6,3.9,0,8.57,0.03,0.24,0.8,0.08,0.21,2.94,8.57,0,63.72
H016,"Niger seeds, gray (Guizotia abyssinica)",508.59,20.59,18.34,39.53,0.41,10.96,9737,4452,23564,375,474,379,8.08,874,19.61,1.37,153.64,0.05,4.44,0.05,3.62,2.66,2.7,105,0,73.13,0.38,0.35,0.88,0.46,0.34,2.4,73.13,0,187
H015,"Niger seeds, black (Guizotia abyssinica)",512.42,22.98,18.92,38.61,1.75,10.93,5945,9033,21935,572,461,346,10.7,716,18.19,1.2,39.31,0.03,3.08,0.03,4.98,3.44,2.52,110,0,140,0.46,0.23,1.14,0.49,0.45,2.37,140,0,295
H020,Sunflower seeds (Helianthus annuus),586.27,6.85,23.53,51.85,2.81,10.8,6159,17803,25580,176,752,413,1.9,559,5.85,2.78,49,0.01,2.35,0.05,7.07,23.1,1.54,9.2,0,81.79,0.59,0.13,1.6,0.97,0.94,2.44,81.79,0,249
H018,Pistachio nuts (Pistacla vera),539.42,15.82,23.35,42.49,7.9,10.64,4043,18922,11946,135,537,149,6.93,1053,4.5,0.89,10.46,0,0.87,0.02,2.42,33.92,1.8,18.65,0,64.9,0.98,0.04,0.86,0.58,0.96,11.82,64.9,0,519
H007,"Coconut, kernel, fresh (Cocos nucifera)",408.93,6.3,3.84,41.38,6.2,10.42,28048,2449,639,8,67.73,35,8.12,246,1.3,0.36,0,0,0.74,0.01,0.58,2.72,0,23.22,0,25.41,0.03,0.08,0.3,0.21,0.1,0.63,25.41,3,204
H012,Ground nut (Arachis hypogea),520.06,17.27,23.65,39.63,4.42,10.38,8144,18337,11584,54,391,197,12.21,679,3.44,0.92,3.41,0.01,1.62,0.11,3.18,4.28,7.1,2.5,0,90.87,0.57,0.12,11.35,1.01,0.23,1.61,90.87,0,82.8
H027,"Coconut meal, deoiled",312,47.9,23.8,2.8,0,9.8,0,0,0,112,646,355,72.5,2003,69.4,0,0,0,0,0,0,0,0,0,0,0,0.13,0.57,6,0,0,0,0,5,0
H008,"Garden cress, seeds (Lepidium sativum)",445.26,33.66,23.36,23.74,0.91,8.27,4101,8131,10464,318,539,307,21.84,952,17.2,0.51,54.41,0,2.87,0.03,4.83,1.07,1.92,24.66,0,30.92,0.52,0.15,5.67,0.28,0.05,8.66,30.92,0,559
H004,"Arecanut, fresh (Areca catechu)",244.74,45,2.73,5.51,4.72,7.63,3389,599,522,34.03,90.48,47.6,5.53,329,1.04,0.71,0,0,1.36,0,0.56,0.06,11.03,3.71,0,26.51,0.04,0.03,0.74,0.21,0.25,1.7,26.51,0,47.78
H041,Cleome viscosa defatted seed cake,0,0,20.4,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0.15,0.15,0,0,0,0,0,0
H021,Walnut (Juglans regia),671.35,10.14,14.92,64.27,3.22,5.39,5208,11316,44915,105,400,180,1.33,457,3.21,1.52,6.53,0.01,3.47,0.02,2.94,4.12,46.31,84.92,0,57.95,0.4,0.12,0.86,0.84,0.8,13.05,57.95,0,122
H005,Cashew nut (Anacardium occidentale),582.68,25.46,18.78,45.2,3.11,3.86,7816,27907,7482,34,500,307,9,635,5.95,2.23,13.08,0,1.78,0.03,5.34,1.6,3.85,1.83,0,25.2,0.61,0.03,1.03,1.4,0.16,2.58,25.2,0,16.94
H030,Piyal seeds,656,12.1,19,59.1,0,3.8,0,0,0,279,528,373,10.2,436,8.5,0.86,0,0,0,0,0,0,0,0,0,0,0.69,0.53,1.5,0,0,0,0,5,0
H017,Pine seed (Pinus sp.),594.15,26.77,12.55,48.79,4.67,3.79,3801,18624,24202,17,618,268,1.31,686,4.5,1.17,10.56,0,7.92,0.03,4.18,4.01,0.61,44.55,0,31.64,0.36,0.08,3.52,0.5,0.11,18.46,31.64,0,297
H029,Groundnut cake,386,38.8,40.9,7.4,0,3.2,0,0,0,213,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H028,Groundnut roasted,570,26.7,26.2,39.8,0,3.1,0,0,0,77,370,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0.39,0.13,22.1,0,0,0,0,0,0
H037,Bajjar bhang,392,61.6,17.2,8.5,0,2.2,0,0,0,83,424,405,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H042,Marking nut (kernel),587,28.4,26.4,36.4,0,1.4,0,0,0,295,836,0,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H032,Adda seed (kernel),493,28.6,27.3,29.9,0,1.1,0,0,0,302,718,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0.17,0.17,1.1,0,0,0,0,0,0
H023,Chilgoza,615,29,13.9,49.3,0,1,0,0,0,91,494,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0.32,0.3,3.6,0,0,0,0,0,0
H035,Mango seed kernel,192,35.9,2.6,4.2,0,0.9,0,0,0,40,110,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H031,Water melon seeds (kernal),628,4.5,34.1,52.6,0,0.8,0,0,0,100,937,0,0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H040,Okra (kernel),0,0,38.9,36.5,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H038,Pumpkin seed,584,15.6,24.3,47.2,0,0.2,0,0,0,50,830,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H022,Avocadopear (nut),144,32,2.5,0.7,0,0,0,0,0,20,80,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H024,Coconut tender,41,6.3,0.9,1.4,0,0,0,0,0,10,30,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H025,Coconut milk,430,11.9,3.4,41,0,0,0,0,0,15,140,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0.08,0.04,0.6,0,0,0,0,3,0
H026,Coconut water,24,4.4,1.4,0.1,0,0,0,0,0,24,10,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.1,0,0,0,0,2,0
H033,Jungli badam,0,0,11.4,35.5,0,0,0,0,0,33,415,274,0,517,1.7,0.82,0,0,0,0,0,0,0,0,0,0,0.06,0.08,1.1,0,0,0,0,5,0
H034,Oysternut,689,0,29.7,63.3,0,0,0,0,0,10,570,0,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
