barcode,product_name,brands,quantity_gms,energy-kcal_100g,carbohydrates_100g,sugars_100g,salt_100g,fat_100g,saturated-fat_100g,proteins_100g,fiber_100g,potassium_100g,calcium_100g,nova_group,nutriscore_grade,OFF_URL
8906005670427,Salted Peanuts,Charliee,,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8906005670427
8908005072690,Chia Seeds,Delight nuts,200,519,34.9,0.1,0.1675,31.87,3.63,23.23,30,0.678,0.425,1,a,https://in.openfoodfacts.org/product/8908005072690
8908000385351,Masala peanut,Dev,150,630,20,8.4,1.1,48.5,7.2,27.6,6.8,0.64,0.11,1,d,https://in.openfoodfacts.org/product/8908000385351
8903363011435,Premia nuts and seeds mix,Dmart,100,541.42,34.41,24.05,0.00898,35.74,4.85,,,,,3,unknown,https://in.openfoodfacts.org/product/8903363011435
8904112704103,Durga rosted peanut,Durga Agencies,200,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8904112704103
8906120101653,Farmley California Almonds,Farmley,250,575,21.7,3.9,,49.4,3.2,21.2,12.2,,,,unknown,https://in.openfoodfacts.org/product/8906120101653
8906120107181,Raw Sunflower Seeds,Farmley,200,629,22.9,5.2,0.045,47.7,4.2,22.7,9.5,,,1,c,https://in.openfoodfacts.org/product/8906120107181
8906120100137,Chia seeds,Farmley,200,490,44,0,0.045,31,4.2,16.5,33.4,,,1,b,https://in.openfoodfacts.org/product/8906120100137
8906120106849,Flax Seeds,Farmley,200,539.1,33,4.1,0.045,35.5,11,21.6,21.6,,,1,d,https://in.openfoodfacts.org/product/8906120106849
8906120100151,Pumpkin Seeds,Farmley,200,570,12,0,0.045,45.6,8.1,30.5,6.4,,,1,b,https://in.openfoodfacts.org/product/8906120100151
8902901223965,W320 cashew,Good Life,100,,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8902901223965
8902901223972,W320 Cashew,Good Life,200,,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8902901223972
8902901100723,Cashew Broken,Good Life,200,,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8902901100723
8906016013428,Energy Mix Nuts-Seeds,Gourmia,200,574.6,22.2,5.2,0.3269,48.9,6.2,22.1,7.6,,,3,b,https://in.openfoodfacts.org/product/8906016013428
8904004404685,Nutty Craze,Haldiram's,,,,,,,,,,,,3,unknown,https://in.openfoodfacts.org/product/8904004404685
8904063210678,Roasted Crushed Peanuts,Haldiram's,,499,55,10.5,2.43,25.5,6,12.5,,,,,d,https://in.openfoodfacts.org/product/8904063210678
8904004403534,tasty nuts,Haldiram's,,624.283,23.34,0,1.2325,49.52,9.58,21.24,5.12,,,,unknown,https://in.openfoodfacts.org/product/8904004403534
8906081123619,Californian Almonds,Happilo,450,627,18.7,3.33,0.055,51.3,4.67,22.7,10.7,,,1,a,https://in.openfoodfacts.org/product/8906081123619
8906081120212,California Inshell Walnut,Happilo,200,700,10,0,0.025,66.7,5,16.7,10,,,1,a,https://in.openfoodfacts.org/product/8906081120212
8906081123626,100% natural premium whole cashew nuts,Happilo,500,553,29,4,0.0275,43,7,18,4,,,,c,https://in.openfoodfacts.org/product/8906081123626
8904424800333,Essentials - Cashew,Happilo,500,,28.6,7.14,0,50,7.14,17.9,3.57,,,1,unknown,https://in.openfoodfacts.org/product/8904424800333
8906081122421,QA chaia seeds,Happilo,250,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8906081122421
8906115981284,Roasted Flax Seeds,Himalayan Natives,150,569,29.35,0,0.2,40.6,4.89,21.55,25.22,,,,c,https://in.openfoodfacts.org/product/8906115981284
8904067700304,Classic Hand Roasted Peanuts,Jabsons,150,630,21,4,1.575,52,9,20,9,,,3,c,https://in.openfoodfacts.org/product/8904067700304
8904067709857,Roasted peanuts,Jabsons,140,630,21,4,2,52,9,20,1,,,,d,https://in.openfoodfacts.org/product/8904067709857
8904067704944,Kaju Badam Lachha,Jabsons,,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8904067704944
8906072845483,Roasted peanut,Jack & Jill,120,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8906072845483
9975788754069,Sabja Seeds,Jack & Nick,,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/9975788754069
8906069413305,Sunflower seeds,Jewel Farmer,200,652.71,18.81,0,0.0075,54.39,26.91,21.9,3.9,,,1,d,https://in.openfoodfacts.org/product/8906069413305
8906016010120,mamra almonds,"K.B.B Nuts Pvt. Ltd.,Tulsi",250,575,21.7,3.9,0.0025,49.4,3.7,21.2,12.2,,,,b,https://in.openfoodfacts.org/product/8906016010120
8906046640649,Cashews,Kalbavi,500,553,30,6,0.03,44,8,18,3,0.66,,1,b,https://in.openfoodfacts.org/product/8906046640649
8908018177115,Roasted Pistachio,LGN,250,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8908018177115
2867900011851,Pistachio,Lulu,,,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/2867900011851
8906021062466,Molsi's Cashew Pepper Dry Roasted,Molsi's,,614,32.14,6,0.875,46.42,10.71,14.28,7.14,,,3,d,https://in.openfoodfacts.org/product/8906021062466
8908012586104,Raw Peanut,My kitchen,500,,,,,,,,,,,1,b,https://in.openfoodfacts.org/product/8908012586104
8906161500682,Nutri Binge California Almonds,Nutri Binge,,618,20.4,4.6,0.006,50.2,4.2,20.9,12.1,,0.3706,1,a,https://in.openfoodfacts.org/product/8906161500682
8906155440130,Cashews,Om,500,598,30.1,6,0.03,44.5,7.8,19.2,,,,1,c,https://in.openfoodfacts.org/product/8906155440130
8903363004710,Kaju 240,DMart,100,,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8903363004710
8903363004697,Kaju 320,DMart,100,,,,,,,,,,,1,a,https://in.openfoodfacts.org/product/8903363004697
8908011491218,proV California Almonds,proV,,656,18,2,0.05,57,5.3,17,13,,,,c,https://in.openfoodfacts.org/product/8908011491218
8908011491621,Almonds Roasted and Salted,proV,18,641,17.2,3.89,1.3,54.4,8.89,21.1,12.8,,,3,d,https://in.openfoodfacts.org/product/8908011491621
610708495963,rostaa Salted Mix,Rostaa,340,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/610708495963
641606975516,Pumpkin Seeds,rostaa,200,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/641606975516
8908003080437,Khari Sing,Santosh,,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8908003080437
8904132968813,Roasted & Salted Cashews,Snactac,36,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8904132968813
8906009181172,Star Walnut Kernels,Star,,,,,,,,,,,,,unknown,https://in.openfoodfacts.org/product/8906009181172
8901512939302,Snacko Honey Roasted Peanuts,Sundrop,100,597,23,14.5,0.83525,46.4,8.7,23.8,3.8,,,4,d,https://in.openfoodfacts.org/product/8901512939302
8850291110832,Roasted Sunflower Kernels,Tong garden,200,533,43.3,13.3,0.792,33.3,3.33,20,6.67,0.533,0.05,4,c,https://in.openfoodfacts.org/product/8850291110832
8906112663046,Pumpkin Seeds Roasted,True Elements,,618,27.3,0,0.0095,49.8,10.5,14.9,16.2,,,,d,https://in.openfoodfacts.org/product/8906112663046
8906112661332,Chia Seeds,True Elements,,508,39,0,0.025,31.5,4.8,17.1,34,,,1,a,https://in.openfoodfacts.org/product/8906112661332
710859306108,CASHEWS,Vittal Balaji,500,570,33,7,,46,9,15,5,,,1,unknown,https://in.openfoodfacts.org/product/710859306108
8906055440568,"
Organic Peanuts",Organic Tattva,500,620,17,4,0.012,50,9,25,9,,,1,a,https://in.openfoodfacts.org/product/8906055440568
8906019770755,California Walnut Kernels,Nutraj,250,671,20.21,0,,58.01,5.1,16.94,,,,1,unknown,https://in.openfoodfacts.org/product/8906019770755
