food_code,food_name,energy_kcal,carb_g,protein_g,fat_g,freesugar_g,fibre_g,sfa_mg,mufa_mg,pufa_mg,cholesterol_mg,calcium_mg,phosphorus_mg,magnesium_mg,sodium_mg,potassium_mg,iron_mg,copper_mg,selenium_ug,chromium_mg,manganese_mg,molybdenum_mg,zinc_mg,vita_ug,vite_mg,vitd2_ug,vitk1_ug,folate_ug,vitb1_mg,vitb2_mg,vitb3_mg,vitb5_mg,vitb6_mg,vitb7_ug,vitb9_ug,vitc_mg,carotenoids_ug
B002,"Bengal gram, whole (Cicer arietinum)",287.04,39.56,18.77,5.11,0.99,25.22,453,890,2337,0,150,267,160,26.56,935,6.78,0.85,41.23,0.02,2.71,0.06,3.37,0,1.72,1.93,2.1,233,0.37,0.24,2.1,2.38,0.36,0.93,233,0,999
B007,"Field bean, black (Phaseolus vulgaris)",276.05,43.46,19.93,0.92,1.15,23.4,188,80.07,468,0,78.16,457,197,1.35,1272,4.5,1.03,32.55,0.01,2.38,0.07,2.42,0,0.51,4.35,21.5,291,0.35,0.07,1.88,0.85,0.35,0.66,291,0,207
B009,"Field bean, white (Phaseolus vulgaris)",280.35,44.53,19.84,0.94,1.07,22.99,186,61.57,503,0,77.24,448,190,1.7,1360,5.5,0.94,21.52,0.02,2.41,0.03,2.8,0,0.52,4.26,22.65,289,0.37,0.07,1.96,0.92,0.38,0.68,289,0,256
B022,"Red gram, whole (Cajanus cajan)",273.89,42.48,20.47,1.38,1.3,22.84,277,78.55,637,0,139,312,155,19.03,1303,5.37,1.32,15.41,0.02,1.34,0.09,2.99,0,0.8,2.78,91.83,229,0.74,0.15,2.42,1.56,0.42,0.65,229,0,579
B025,"Soya bean, white (Glycine max)",377.38,10.16,37.8,19.42,2.2,22.63,3002,4817,11071,0,195,494,189,2.83,1634,8.22,0.79,16.85,0.01,2.27,0.16,3.47,0,1.33,69.81,46.2,288,0.61,0.23,2.28,1.97,0.45,0.77,288,0,282
B008,"Field bean, brown (Phaseolus vulgaris)",282.98,45.24,19.9,0.98,1.17,22.4,198,127,460,0,75.2,429,173,1.41,1245,4.99,0.9,22.82,0.01,2.38,0.06,2.44,0,0.53,4.24,20.7,292,0.32,0.07,2.04,0.97,0.37,0.76,292,0,254
B024,"Soya bean, brown (Glycine max)",381.44,12.79,35.58,19.82,2.51,21.55,3092,4558,11279,0,239,483,259,2.07,1613,8.29,1.29,19,0,2.69,0.16,4.01,0,1.29,66.22,45.8,297,0.59,0.24,2.12,1.97,0.43,0.73,297,0,262
B004,"Black gram, whole (Phaseolus mungo)",291.34,43.99,21.97,1.58,0.45,20.41,258,161,718,0,86.18,345,190,26.8,1093,5.97,0.76,27.98,0.02,1.83,0.1,3.05,0,0.23,16.84,10.8,134,0.32,0.11,1.85,3.98,0.53,1.28,134,0,463
B018,"Rajmah, black (Phaseolus vulgaris)",298.03,49.59,19.01,1.62,2.02,17.74,238,105,927,0,134,386,160,9.4,1362,6.17,0.87,18.65,0.03,1.19,0.03,3.08,0,0.21,27.98,5.05,332,0.21,0.19,2.61,1.91,0.23,0.63,332,0,86.67
B011,"Green gram, whole (Vigna radiata)",293.73,46.13,22.53,1.14,0.54,17.04,274,27.22,611,0,92.43,353,198,12.48,1177,4.89,1,23.32,0.01,1.05,0.17,2.67,0,0.33,3.15,12.63,145,0.45,0.27,2.16,2.02,0.35,1.35,145,0,889
B017,"Peas, dry (Pisum sativum)",303.29,48.93,20.43,1.89,2.03,17.01,242,398,873,0,75.11,334,123,23.4,922,5.09,0.68,50.07,0.01,1.08,0.11,3.1,0,0.32,15.21,11.45,110,0.56,0.16,2.69,1.26,0.26,0.53,110,0,933
B019,"Rajmah, brown (Phaseolus vulgaris)",297.56,48.83,19.5,1.68,2.27,16.95,242,91.76,896,0,134,396,164,10.47,1366,6.3,0.89,12.7,0.03,1.19,0.08,2.6,0,0.23,25.82,5.5,330,0.26,0.21,2.37,2.06,0.21,0.77,330,0,90.26
B014,"Lentil whole, brown (Lens culinaris)",298.99,48.47,22.49,0.64,1.63,16.82,81.22,102,277,0,76.13,274,101,11.2,756,7.57,0.98,33.14,0.02,1.55,0.08,3.6,0,0.19,14.52,7.27,132,0.4,0.22,2.54,1.84,0.46,1.74,132,0,924
B015,"Lentil whole, yellowish (Lens culinaris)",297.79,47.91,22.87,0.61,1.5,16.66,76.17,92.18,274,0,76.66,261,86.38,10.87,764,7.91,0.88,56.28,0.01,1.56,0.3,3.31,0,0.19,17.68,5.25,121,0.42,0.22,2.56,1.68,0.47,1.63,121,0,939
B020,"Rajmah, red (Phaseolus vulgaris)",299.23,48.61,19.91,1.77,1.52,16.57,256,87.84,931,0,126,409,173,10.45,1324,6.13,0.78,22.45,0.03,1.24,0.05,2.69,0,0.23,26.73,4.9,316,0.3,0.19,2.42,1.82,0.21,0.77,316,4,103
B001,"Bengal gram, dal (Cicer arietinum)",329.1,46.72,21.55,5.31,1.03,15.15,469,876,2476,0,46.32,325,118,20.83,957,6.08,0.82,50.97,0.01,1.68,0.05,3.65,0,0.19,1.75,1.5,182,0.35,0.15,1.87,1.6,0.19,0.81,182,0,1018
B016,Moth bean (Vigna aconitifolia),308.55,52.09,19.75,1.76,1.36,15.12,434,72.25,848,0,154,362,205,26.34,1356,7.9,0.64,18.82,0,1.07,0.06,1.92,0,0.79,9.77,22.75,349,0.45,0.09,1.87,1.41,0.16,2.12,349,0,622
B023,Ricebean (Vigna umbellata),302.34,51.26,19.97,0.74,1.33,13.37,172,357,62.93,0,200,270,201,10.62,1196,4.76,0.75,0,0,1.68,0,2.29,0,1.06,8.26,21.85,122,0.46,0.14,2.32,0.98,0.13,2.65,122,1.11,29.02
B003,"Black gram, dal (Phaseolus mungo)",324.08,51,23.06,1.69,0.84,11.93,276,186,742,0,55.67,375,173,18.88,1157,4.67,0.64,23.99,0.01,1.46,0.05,3,0,0.17,8.42,8.3,88.75,0.21,0.09,1.76,2.95,0.22,0.81,88.75,0,279
B006,"Cowpea, white (Vigna catjang)",320.26,53.77,21.25,1.14,1.18,11.7,285,70.12,557,0,84.1,378,213,12.52,1243,5.04,0.68,26.55,0,1.35,0.23,3.57,0,0.65,0.93,1.7,249,0.34,0.09,1.51,1.66,0.26,4.28,249,0,250
B005,"Cowpea, brown (Vigna catjang)",320.26,54.62,20.36,1.15,1.6,11.54,283,60.58,550,0,81.73,372,213,13.68,1241,5.9,0.81,23.95,0.01,1.51,0.11,3.41,0,0.7,0.92,1.75,231,0.33,0.09,1.64,1.47,0.3,3.97,231,0,218
B013,Lentil dal (Lens culinaris),322.41,52.53,24.35,0.75,1.95,10.43,91.02,112,336,0,44.32,310,74.69,10.27,786,7.06,0.96,49.5,0.01,1.16,0.08,3.61,0,0.16,1.31,3.75,49.99,0.34,0.16,1.81,1.32,0.18,1.25,49.99,0,812
B010,"Green gram, dal (Vigna radiata)",325.76,52.59,23.88,1.35,0.95,9.37,247,35.85,534,0,43.13,416,155,10.14,1268,3.93,0.97,50.14,0,0.98,0.16,2.49,0,0.23,2.05,8.3,92.11,0.35,0.12,1.84,1.68,0.19,0.65,92.11,0,619
B021,"Red gram, dal (Cajanus cajan)",330.78,55.23,21.7,1.56,2.08,9.06,257,89.94,651,0,71.73,328,119,18.01,1395,3.9,1.14,14.36,0.01,1.12,0.13,2.63,0,0.19,2.12,42.25,108,0.45,0.11,2.09,1.27,0.24,0.31,108,0,484
B012,"Horse gram, whole (Dolicus biflorus)",329.58,57.24,21.73,0.62,0.35,7.88,135,68.89,258,0,269,298,152,12.14,1065,8.76,1.29,29.49,0.03,3.13,0.12,2.71,0,0.27,1.8,10.24,163,0.32,0.24,1.82,1.58,0.21,0.59,163,0,267
B031,Goa beans,0,0,32.7,18.4,0,7.2,0,0,0,0,0,0,269,0,0,0,1.04,0,0.03,3.3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B030,Peas roasted,340,58.8,22.9,1.4,0,4.4,0,0,0,0,81,345,122,14.7,750,6.4,1.32,0,0,0,0,0,0,0,0,0,0,0.47,0.21,3.5,0,0,0,0,0,18
B033,Sutari,332,60.9,21.5,0.3,0,4.2,0,0,0,0,302,297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B029,"Khesari, dhal",345,56.6,28.2,0.6,0,2.3,0,0,0,0,90,317,92,37.7,644,6.3,0.77,0,0,0,0,0,0,0,0,0,0,0.39,0.17,2.9,0,0,0,0,0,120
B027,"Field bean, dry",347,60.1,24.9,0.8,0,1.4,0,0,0,0,60,433,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0.52,0.16,1.8,0,0,0,0,0,0
B026,"Bengal gram, roasted",369,58.1,22.5,5.2,0,1,0,0,0,0,58,340,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,139,0.2,0,1.3,0,0,0,139,0,113
B032,Malmandi,0,0,26.1,0,0,0,0,0,0,0,154,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.31,4.47,0,0,0,0,0,0
