barcode,product_name,brands,energy-kcal_100g,proteins_100g,carbohydrates_100g,fat_100g,sugars_100g,added-sugars_100g,salt_100g,saturated-fat_100g,cholesterol_100g,fiber_100g,nova_group,nutriscore_grade,quantity_g,ingredients_text,URL
8901088887557,Soya Bhurji Magic Masala,Saffola,347,36.1,37,10.4,9.5,,,2.6,,19,4,unknown,,"Soy Granules (65%), Seasoning [lodised Salt, Sugar, Spices and Condiments, Starch, Nature-identical Flavouring Substances, Hydrolysed Vegetable Protein, Maltodextrin, Natural Flavouring Substances, Flavour Enhancers (627, 631)], Refined Rice Bran Oil, Dried Vegetables [Onion (6.1%), Garlic, Carrot (0.5%), Green Peas (0.5%)], Natural Flavouring Substances. CONTAINS SOY, SULPHITE. MAY CONTAINS TRACES OF OATS, WHEAT, MILK, NUT",https://in.openfoodfacts.org/product/8901088887557
19378426,formula 1,Herbalife,,36,40,6.4,17,,,,,12,,unknown,500,"For weight control and management Nutritional Shake Mix Nutritious, delicious meal Lic No. 100130043000639 18 vitamins & minerals O HERBALIFE NUTRITION Formula 1 fssai GI",https://in.openfoodfacts.org/product/19378426
4712211212221,Herbalife Formula 1 Nutrional Shake Mix,Herbalife,376.8,36,42,7.2,36,24,1.23,1.6,,12,4,d,,"Soy Protein Isolate, Sugar, Fructose Powder, Whey Protein Concentrate, Lecithin Powder, Oat Fiber, Stabilizer (Guar gum - INS. 412), Inulin, Bulking Agent [Cellulose Powder - INS. 460 (i)], Soyabean Oil Powder, Com Powder, Calcium Caseinate, Potassium Chloride, Artificial vanilla flavouring substances, Diluent [Dicalcium Phosphate - INS. 341 (i)], Minerals##, Sodium Caseinate, Vitamins&quot;, Psyllium Husk Powder, Zingiber officinale Rhizome Powder, Emulsifier (Glyceryl monostearate - INS 471), Sweetener (Sucralose - INS 955), Stabilizer [Dipotassium hydrogen phosphate-INS 340 (ii)], Papain Powder, Antioxidant (Ascorbyl palmitate - INS 304).",https://in.openfoodfacts.org/product/4712211212221
8906133403966,Active mix,Little joy,347.6177,35.29412,46.64706,2.205882,,,,0.882353,,3.558824,,unknown,,,https://in.openfoodfacts.org/product/8906133403966
2000000147562,Tata 1mg Pro+ 2.0 High Protein High Calorie Protein Powder Vanilla,Tata 1mg,455.24,35,44.63,15.98,,0,0.324025,11.98,,3,4,unknown,400,"Protein (Whey Protein Concentrate,Whey Protein Hydrolsate), Fructose, Medium Chain Triglycerides, Dietary Fiber (Insulin), Dicalcium Phosphate, Potassium Chloride, Magnesium Oxide, Sodium Chloride, Artificial Sweetener (INS 955), Preservative (INS 202), Chlorine Bitartrate, Vitamine C, L-Carnitine, L-Taurine, Ferrous Fumarate, Antioxidant (INS 320), Zinc Sulphate, Nicotinamade, D-Alpha Tocopheryl Acetate, Manganese Sulphate, Calcium-D-Panto-Thenate, Cyanocobalamin, Cupric Sulphate, Pyridoxine HCI, Riboflavin, Thiamine, Mononitrate, Retinyl Acetate, Folic Acid, Chromium Picolinate, Potassium Iodide, Phylioquinone, Sodium Selenite, Sodium Molybdate, D-Biotin, Ergocalciferol.",https://in.openfoodfacts.org/product/2000000147562
8901262110068,Sagar Skimmed Milk Powder,Amul,357,35,52,1,52,,1.125,0.6,0.002,,3,unknown,500,Skimmed milk powder,https://in.openfoodfacts.org/product/8901262110068
8906080810237,Skimmed Milk Powder,Farmer Fresh,361,35,52,1.5,,,,,,,1,unknown,500,skimmed milk solids,https://in.openfoodfacts.org/product/8906080810237
900640031375,Protinex Cream Vanilla Flavour,Danone,370,34,55,1.3,13,,0.9,0.7,,,4,c,18,"SKIMMED MILK POWDER, MALTODEXTRIN, SOY PROTEIN ISOLATE, MINERALS (DI CALCIUM PHOSPHATE, FERRIC PYROPHOSPHATE, ZINC SULPHATE, POTASSIUM IODIDE), NATURE IDENTICAL FLAVOURING SUBSTANCES, STABILIZER (GUAR GUM), VITAMINS (CHOLINE BITARTRATE, ASCORBIC ACID, DL-ALPHA TOCOPHERYL ACETATE, NICOTINAMIDE, RETINYL ACETATE, ERGOCALCIFEROL THIAMINE HYDROCHLORIDE, CALCIUM PANTOTHENATE, RIBOFLAVIN, PYRIDOXINE HYDROCHLORIDE FOLIC ACID, D-BIOTIN), SWEETENER (SUCRALOSE)",https://in.openfoodfacts.org/product/900640031375
8901030825545,Horlicks Protein Plus Vanilla Flavour,Unilever Horlicks,374,34,52,4,30,,1.375,3,0.04,3,4,d,200,"Skimmed Milk Powder [(50%) of which Casein (14%)], Protein Products (21%) [Whey Protein Concentrate (15%), Soy Protein Isolate (6%)], Cereal Extract (Barley, Malted Barley, Millet, Wheat), Edible Vegetable Fat Powder (High Oleic Sunflower oil) [Emulsifier (INS 471), Antioxidant (INS 305)], Dietary Fibre (Wheat Dextrin-Soluble Fibre), Nature Identical Flavouring Substances, Minerals, Vitamins, Non-Caloric Sweetener (INS 960). Allergen Information: Contains Soy, Milk, Wheat and Barley.",https://in.openfoodfacts.org/product/8901030825545
8901571009343,Horlicks Protein+ Chocolate,Horlicks,379,34,54,2,22,,,,,,4,unknown,200,"Protein Products (39%) [Whey Protein Concentrate (30%), Soy Protein Isolate (9%)], Cereal Extract (24%), Sugar, Casein (1.1%) [From Milk Solids (5.5%)], Cocoa Powder, Minerals, Wheat Gluten, Nature Identical Flavouring Substances",https://in.openfoodfacts.org/product/8901571009343
8904232858588,Oven roasted turkey,Meal simple,470,34,31,24,,,,,,,,unknown,,,https://in.openfoodfacts.org/product/8904232858588
8906048500361,Protinex Original,Danone,354,34,53.3,0.5,32,,612.5,0.42,,,4,e,400,"Peanut protein hydrolysate (56%), Sugar, Malt extract, Maltodextrin, Minerals (Tribasic calcium phosphate, Ferrous gluconate), Vitamins (Choline bitartrate, Ascorbic acid, Niacinamide, dl-alpha Tocopheryl acetate, Riboflavin, Pantothenol, Thiamine mononitrate, Retinyl palmitate, Pyridoxine hydrochloride, Folic acid, Ergocalciferol, Phytomenadione, d-Biotin, Cyanocobalamin), Natural colour (INS 150a), Artificial flavouring substances (chocolate)",https://in.openfoodfacts.org/product/8906048500361
8906048500668,Protinex Rich Chocolate Flavour 400g Jar,"Danone,Protinex",373,34,54.4,2.1,15,0,0.75,1.5,,,,d,,,https://in.openfoodfacts.org/product/8906048500668
8906048500835,Protinex Original,Protinex,354,34,53.3,0.5,32,29,0.6125,0.42,,,4,d,250,"Peanut protein hydrolysate (56%), sugar, malt extract, maltodextrin, minerals (tribasic calcium phosphate, ferrous gluconate), choline bitartrate vitamins (ascorbic acid, niacinamide, d-alpha tocopheryl acetate, phytomenadione retinyl palmitate, thiamine mdnonitrate, ergocalciferol, riboflavin, pantothenol, pyridoxine hydrochloride, folic acid, cyanocobalamin, d-biotin).",https://in.openfoodfacts.org/product/8906048500835
8906048501450,Beverage Mix - Protinex Creamy Vanilla flavor 400g Jar,Protinex,370,34,55,1.3,13,,0.9,0.7,,,4,e,,"Skimmed milk powder, Maltodextrin, Soy protein isolate, Minerals (Di calcium phosphate, Ferric pyrophosphate, Zinc sulphate, Potassium iodide), Nature identical flavouring substances, Stabilizer (Guar gum), Vitamins (Choline bitartrate, Ascorbic acid, dl-alpha tocopheryl acetate, Nicotinamide, Retinyl acetate, Ergocalciferol, Thiamine hydrochloride, Calcium pantothenate, Riboflavin, Pyridoxine hydrochloride, Folic acid, d-Biotin), Sweetener (INS 955).",https://in.openfoodfacts.org/product/8906048501450
8906048501634,Protinex Classic Bitter,Danone,354,34,53.3,0.5,32,29,0.6125,0.42,,,4,e,750,"Peanut protein hydrolysate (56%), Sugar, Malt extract, Maltodextrin, Minerals (Tribasic calcium phosphate, Ferrous gluconate), Vitamins (Choline bitartrate, Ascorbic acid, Niacinamide, dl-alpha Tocopheryl acetate, Riboflavin, Pantothenol, Thiamine mononitrate, Retinyl palmitate, Pyridoxine hydrochloride, Folic acid, Ergocalciferol, Phytomenadione, d-Biotin, Cyanocobalamin), Natural colour (INS 150a), Artificial flavouring substances (chocolate)",https://in.openfoodfacts.org/product/8906048501634
8906048501672,Protinex,Danone,370,34,55,1.3,13,,0.9,0.7,,,4,c,18,"SKIMMED MILK POWDER, MALTODEXTRIN, SOY PROTEIN ISOLATE, MINERALS (DI CALCIUM PHOSPHATE, FERRIC PYROPHOSPHATE, ZINC SULPHATE, POTASSIUM IODIDE), NATURE IDENTICAL FLAVOURING SUBSTANCES, STABILIZER (GUAR GUM), VITAMINS (CHOLINE BITARTRATE, ASCORBIC ACID, DL-ALPHA TOCOPHERYL ACETATE, NICOTINAMIDE, RETINYL ACETATE, ERGOCALCIFEROL THIAMINE HYDROCHLORIDE, CALCIUM PANTOTHENATE, RIBOFLAVIN, PYRIDOXINE HYDROCHLORIDE FOLIC ACID, D-BIOTIN), SWEETENER (SUCRALOSE)",https://in.openfoodfacts.org/product/8906048501672
8908010900964,Peanut Butter,Pintola,605,33,26,40,16.5,14,0,5,0.015,7,4,c,510,"Peanuts (78%). Organic Jaggery (12%), Whey Protein Concentrate (European Origin) (10%), Allergen info: Contains Nut & Milk",https://in.openfoodfacts.org/product/8908010900964
8908010900988,High Protein Peanut Butter (Organic Jaggery),Pintola,605,33,26,40,16.5,14,0.04475,5,0.015,7,,unknown,1000,,https://in.openfoodfacts.org/product/8908010900988
8908013172238,Phab Protein Bar,Phab,351,32.3,41.1,8.86,15.1,,0.582,3.14,,12,4,a,,"Protein 367 (Soy Protein pranules(175) Whey Protein kolate Probiotic Fretes S+Squerfree Whita Chesslate Milk Solrds, Cocos Solich, Edible Vegetable Fat (Palmi, Humstant (INS (103), Pas Protan Isolate (5), Asian Date Paxt6, Prickste and swansa (6SNZ4 (4603), Psh Oc-Sunro Rated Amad pitcert (266) Great Poun rà¯‡ 2 at Codes rean Ponder (2.1475), Emulsifier (INS 412, N$ 322 (0), ZÃ¡ble common atHimalayan Pink Sal0, Acidity anbaal flavar - rary.rasemary orONS 330), Nature Y PLACE. DOD-High Protein B. - Full COLDAVS CHOCOLATE PRODUCTS Ba ar -(5.1",https://in.openfoodfacts.org/product/8908013172238
8906048500903,protinex mama,"Danone,protinex",360,32,57,1.5,30.5,,420,0.3,,,,e,250,,https://in.openfoodfacts.org/product/8906048500903
8906117403623,Peanut Butter Creamy Unsweetened,The Butternut Co,640,32,15,50,0,,0,0,,,1,a,,Dry roasted Peanuts (100%),https://in.openfoodfacts.org/product/8906117403623
8906136651012,Peanut Butter Creamy (American Recipe),Pintola,598,32,26,40,13,11,0.425,7,0,,,unknown,,,https://in.openfoodfacts.org/product/8906136651012
8908008103469,Peanut Butter Unsweetened,The Butternut Co.,640,32,15,50,3,,,,,,,unknown,,,https://in.openfoodfacts.org/product/8908008103469
8908010900070,Pintola all natural peanut butter (crunchy),,637.5,31.25,18.75,50,3.125,,,6.25,,9.375,,unknown,1000,,https://in.openfoodfacts.org/product/8908010900070
8906127550003,Peanut butter,Alpino,606,31.2,21.9,46.9,3.12,,0.0625,9.38,,9.38,,d,1000,,https://in.openfoodfacts.org/product/8906127550003
8904256715492,Protein Bar,BB Good Diet,477,30.8,40,21.5,,,,,,,,unknown,,,https://in.openfoodfacts.org/product/8904256715492
8906143891302,Peanut Cocoa Protein bar,The Whole Truth,519,30.7,29.6,30.9,19.9,,0.294,8.51,0.117,5.82,1,d,67,"peanuts, dates, whey protein blend (concentrate + Isolate), cocoa butter, cocoa powder.",https://in.openfoodfacts.org/product/8906143891302
8908005144182,20G protein bar cranberry blast,Yoga bar,460,30.7,35.6,21.7,21.1,,0.27,3.86,,13.7,,unknown,,,https://in.openfoodfacts.org/product/8908005144182
8904335600671,Peanut butter,YogaBar,632,30.6,14,50.4,0.5,0,0,12,,6.2,,d,400,,https://in.openfoodfacts.org/product/8904335600671
8906120106337,Protein Mix,Farmley,618,30.3,11.6,50,,,,8.53,,,,unknown,200,,https://in.openfoodfacts.org/product/8906120106337
8906143891296,Coffee Cocoa,The Whole Truth,510,30.3,32.1,29,17.8,,0.456,7.31,,10.6,,d,67,,https://in.openfoodfacts.org/product/8906143891296
1241000224,Threptin,Threptin,438,30,48,14,30,30,,7,,,4,unknown,275,"Casein, Sucrose, Precooked Rice Flour, Edible Vegetable Fat, Bengal Gram, Raising Agent [500 (ii)], Natural Colour (150 c), Emulsifier, Vitamins, Acidity Regulator (525) and Antioxidant (304).",https://in.openfoodfacts.org/product/1241000224
8901401000465,Threptin Diskettes,Threptin,438,30,48,14,23,,,7,,23,4,unknown,275,"Casein, Sucrose, Precooked Rice Flour, Edible Vegetable Fat, Malt Ext Bengal Gram, Raising Agent [500 (ii)], Natural Colour (150 c), Emulsifier (322), Vitamins Antioxidant (304). CONTAINS PERMITTED NATURAL COLOUR AND ADDED ARTIFICIAL FLAVOURING SUBSTANCES (VANILLA-BUTTERSCOTCH). Contains: Soy APPROXIMATE COMPOSITION (per 100 g) Protein (mainly Casein) g Carbohydrate",https://in.openfoodfacts.org/product/8901401000465
8906009532158,Max Protein Ultimate,Rite bite,336,30,46.6,10.6,2.8,,,2.8,,10,,unknown,,,https://in.openfoodfacts.org/product/8906009532158
8906011145247,Medislim,,386,30,62,2,,,,,,7,,unknown,,,https://in.openfoodfacts.org/product/8906011145247
8906116955949,Creamy Dark Chocolate Peanut Butter,Muscle Blaze,610.14,30,21.85,45.42,18.32,,0.16395,12.76,0.01,3.02,4,d,750,"Roasted Peanuts (54.5%), Dark Chocolate (Sugar, Cocoa Solids (18%), Cocoa Mass (3%), Vegetable Fat & Emulsifier (INS 322 (i) & INS 476), (Pea Protein) (Whey Protein Concentrate) & Stabilizer (INS 471).",https://in.openfoodfacts.org/product/8906116955949
8906127550140,Peanut Butter,Alpino,625,30,18,49,3,,0.0625,12,0,6,,d,400,,https://in.openfoodfacts.org/product/8906127550140
8908010900049,Peanut Butter,Pintola,639,30,18,49,3,0,0.0475,7,0,9,1,a,350,_Peanuts_ 100%,https://in.openfoodfacts.org/product/8908010900049
8908010900087,Pintola organic peanut butter,Pintola,639,30,18,49,3,0,0.0475,7,,9,,c,350,,https://in.openfoodfacts.org/product/8908010900087
8908010900384,Pintola Peanut Butter,pintola,639,30,18,49,3,0,0.0475,7,0,9,1,a,1000,_Peanuts_ 100%,https://in.openfoodfacts.org/product/8908010900384
8906009531311,Choco Slim Bar,,398.5075,29.85075,47.76119,16.26866,0,,0.828358,3.58209,,7.462687,,unknown,,,https://in.openfoodfacts.org/product/8906009531311
8908005144311,yoga bar 20g protein hazelnut,Yoga bar,464,29.7,34.6,23,8.57,,1.09,4.43,,14.3,,c,,,https://in.openfoodfacts.org/product/8908005144311
8906112660540,Antioxydant mix,,595.5,29.1,20.7,44,0,,,12.4,,13.86,,unknown,,,https://in.openfoodfacts.org/product/8906112660540
8908005144175,Yoga Bar,Yoga bar,466,28.7,36.6,22.7,22.1,,0.107,3.14,,14.3,,unknown,,,https://in.openfoodfacts.org/product/8908005144175
51111407592,Birthday Cake Protein Oats,Freaking Protein Oats,364,28.6,51.9,7.79,3.9,0,0.649,1.95,,26,,unknown,,,https://in.openfoodfacts.org/product/51111407592
8901512144201,Peanut Butter 100% Natural Creamy,Sundrop,639,28.6,15.4,53,4.7,,0.01225,9.4,,6.8,1,b,924,Roasted Peanuts,https://in.openfoodfacts.org/product/8901512144201
8906009532509,Max protein,RiteBite,423,28.6,46.4,18.9,2.14,,0.871,3,0,7.14,,unknown,,,https://in.openfoodfacts.org/product/8906009532509
8906067025371,Choco Almond Protein Bar,Muscle Blaze,423,28.6,39.2,19.1,,,,,,10.1,,unknown,,,https://in.openfoodfacts.org/product/8906067025371
8901512144904,Peanut Butter 100% Natural Crunchy,Sundrop,639,28.3,15.5,53.4,4.3,,0.01175,10.1,,8.4,1,b,924,Roasted _Peanuts_,https://in.openfoodfacts.org/product/8901512144904
8906113441964,Nutty Beurre De Cacahuete,Nutty,684.375,28.125,14.0625,56.25,4.688,,,10.3125,,11.25,,unknown,510,,https://in.openfoodfacts.org/product/8906113441964
8906112661790,7-in-1 Mix,True Elements,571,28.1,26.8,39,0,,0.195,7.9,,18.5,1,c,,"Seeds (58% - Pumpkin, Watermelon, Sunflower), Flax Seeds (13%), Sesame Seeds (10%), Soynut (10%), Chia Seeds (9%), Rosemary Extract.",https://in.openfoodfacts.org/product/8906112661790
8906005509277,Classic salted peanuts,,638,28,13,53,,,,10,,2,,unknown,,,https://in.openfoodfacts.org/product/8906005509277
8906069403306,VEEBA PEANUT BUTTER UNSWEETENED,VEEBA,652,28,18,52,4,,0.075,10.4,,,1,c,,Roasted Peanuts (100.0%).,https://in.openfoodfacts.org/product/8906069403306
8901512881205,Sundrop Peanut Butter Regular,Sundrop,610,27.9,19.8,49,9.8,5,0.455,11,,11,,d,,,https://in.openfoodfacts.org/product/8901512881205
8908000385351,Masala peanut,Dev,630,27.6,20,48.5,8.4,,1.1,7.2,0,6.8,1,d,150,"Peanut, Palmolein Oil, Pepper Powder, Chilli Powder, Asafoetida, Salt & Curry Leaves ALLERGY ADVICE: CONTAINS PEANUT",https://in.openfoodfacts.org/product/8908000385351
8908016716590,Protien Bar - Fudge,Fuelled,375,27.3,38.2,18.2,3.64,,0.155,5.45,,25.5,,unknown,,,https://in.openfoodfacts.org/product/8908016716590
8904221699383,asitis,asitis,,27,1,0,0,,0,,,0,,unknown,500,,https://in.openfoodfacts.org/product/8904221699383
8904442611980,Snack kabanossi,Duda,548,27,2,48,1.5,,3.740157,18,,,,unknown,,,https://in.openfoodfacts.org/product/8904442611980
8906116956946,Protein Peanut Butter,Muscleblaze,569,27,30,40,20.3,15.8,,11.5,,9.71,,unknown,,,https://in.openfoodfacts.org/product/8906116956946
8901512144706,Peanut Butter Regular Creamy,Sundrop,647,26.8,15.2,55,11.7,,0.5375,14.8,0,7.8,4,c,924,"Roasted Peanuts (90%), Sugar, Stabilizer (Mono and Diglycerides of Fatty Acids), Refined Edible Groundnut Oil (TBHQ) & lodized Salt.",https://in.openfoodfacts.org/product/8901512144706
8901512881106,Peanut Butter Regular,Sundrop,647,26.8,15.2,55,11.7,6.5,0.5375,14.8,0,7.8,,d,1000,,https://in.openfoodfacts.org/product/8901512881106
8906067028846,Healthkart Nouriza Dark chocolate peanut butter,"Healthkart,Nouriza",565,26.66,31.34,38.8,17.4,,,13.24,0.016,8.13,,unknown,1000,,https://in.openfoodfacts.org/product/8906067028846
8906069401210,Peanut butter,veeba,630.78,26.35,18.8,50.02,7.89,,0.914775,3.41,,,4,c,925,"ROASTED PEANUTS (91.0%), SUGAR, EMULSIFIER AND STABILIZER (INS471) AND IODISED SALT",https://in.openfoodfacts.org/product/8906069401210
8906002001156,Peanut butter creamy,Dr.Oetker FunFood,641.5,26.3,19.3,51,7.5,,,10.4,,,,unknown,925,,https://in.openfoodfacts.org/product/8906002001156
8906002004447,FUNFOODS PEANUT BUTTER,Dr. Oetker,641.5,26.3,19.3,51,7.5,,,10.4,,,4,unknown,925,"Roasted Peanuts (91%), Sugar, Stabilizer (INS471), Iodised Salt",https://in.openfoodfacts.org/product/8906002004447
8906002006236,Dr. Oetker Peanut Butter,Dr. Oetker,642,26.3,19.3,51,7.5,,,10.4,,,,unknown,400,,https://in.openfoodfacts.org/product/8906002006236
8903363002181,Methi,DMart Premia,333.4,26.2,44.1,5.8,0.55,0,0.1005,0.77,0,,1,not-applicable,100,Fenugreek Seed,https://in.openfoodfacts.org/product/8903363002181
8901262010511,Peanut spread,Amul,624,26,20,50,6.5,,0.155,12,,0,,d,,,https://in.openfoodfacts.org/product/8901262010511
8901512141705,Peanut Butter,Sundrop,642,26,20,51,9,,0.875,9.5,,5,4,c,924,"Roasted Peanuts, Sugar, Stabilizer (Mono and Diglycerides of Fatty Acids), Peanut Oil & Salt.",https://in.openfoodfacts.org/product/8901512141705
8904063240170,Classic Salted Peanuts,Haldiram's,610,26,18.5,48,0.5,,1.825,24,,,3,d,,"Peanuts (89%), Edible Vegetable Oil (Palmolein, cotton Seed, Rice Bran) and lodised Salt (1.6%).",https://in.openfoodfacts.org/product/8904063240170
8904063253842,Salted peanuts,Haldiram's,610,26,18.5,48,0.5,,1.825,24,,,1,d,200,"Peanuts (89%), Edible Vegetable Oil Edil (Palmolein/ cotton Seed) and lodised Salt (1.6%) formation:",https://in.openfoodfacts.org/product/8904063253842
8904120400745,Peanut Butter,Abbieâ€™s,630,26,19,50,,,,,,,,unknown,,,https://in.openfoodfacts.org/product/8904120400745
8904327600399,Myfitness Peanut butter,Myfitness,625,26,19,50,10,7,0.875,10,,5,4,d,510,"Roasted Peanuts, Brown Sugar, Pink Himalayan Salt, Permitted Stabilizing Agent (INS 471)",https://in.openfoodfacts.org/product/8904327600399
8904327600405,Myfitness Chocolate Peanut Butter,Myfitness,625,26,19,50,10,,0.875,10,,,4,e,510,"Roasted Peanuts, Dark Chocolate, Brown Sugar, Salt, Stabilizer (INS471). Allergen Info: Contains Peanuts And Soya Peanut Butter (Proprietary Food-4.2.2.5)",https://in.openfoodfacts.org/product/8904327600405
8904327600450,Peanut Butter,My Fitness,625,26,19,50,10,7,0.875,10,,5,4,c,1250,"Roasted Peanuts, Brown Sugar, Pink Himalayan Salt, Stabilizer (INS471). Allergen Info Contains Peanuts And Soya",https://in.openfoodfacts.org/product/8904327600450
8906091148480,GXN Peanut butter,GXN,534,26,19,39,13,,,10,,5,,unknown,,,https://in.openfoodfacts.org/product/8906091148480
8908001954051,Peanut Roast Salted,Sanjay Condiments,630,26,20,49,,,,,,21.1,1,unknown,200,"Roasted Peanuts, lodised Salt",https://in.openfoodfacts.org/product/8908001954051
8908006989508,Peanut butter chikki,Nutritius,516,26,47,25,,,,,,6,,unknown,,,https://in.openfoodfacts.org/product/8908006989508
8908010900179,Peanut Butter,Pintola,625,26,19,50,10,,0.875,10,0,5,4,c,1000,"Roasted Peanuts, Sugar, Iodised Salt, Stabilizer (INS471)",https://in.openfoodfacts.org/product/8908010900179
850015415876,Veggie Chicken,Good dot,183.46,25.92,11.8,3.62,,,,,,,,unknown,250,,https://in.openfoodfacts.org/product/850015415876
8904335600732,Dark Chocolate Peanut Butter,Yogabar,634,25.9,20,50.3,10,8.75,0.0133,13.1,,19.7,,d,1000,,https://in.openfoodfacts.org/product/8904335600732
8906016420257,Roasted Peanuts plain,,673,25.8,12.2,57.9,0,,0,0,,,,unknown,,,https://in.openfoodfacts.org/product/8906016420257
8901030857973,Kissan peanut butter,Kissan,627,25.7,20.7,49.3,10.7,,0.672,9.33,,8.67,3,c,350,"Roasted Peanuts 90% , sugar , edible vegetable oil , salt",https://in.openfoodfacts.org/product/8901030857973
8908004096017,Salted Peanuts,Panjwani,609.62,25.64,19.26,47.78,0,,1.822,7.86,,17.98,,unknown,,,https://in.openfoodfacts.org/product/8908004096017
8904083100485,Chicken breast,Zorabian,114,25.6,,1.3,,,,,,,,unknown,,,https://in.openfoodfacts.org/product/8904083100485
8906002001163,Peanut Butter (beurre de cacahouÃ¨te),Dr. Oetker,636,25.6,20.3,50.3,7.7,,0,10.1,,,,d,,,https://in.openfoodfacts.org/product/8906002001163
8906002004454,Peanut Butter,"funfoods,Dr. Oetker",636.4,25.6,20.3,50.3,7.7,,,10.1,,,3,unknown,925,"Roasted Peanuts (91%), Sugar, Edible Vegetable Fat (Soyabean), lodised Salt.",https://in.openfoodfacts.org/product/8906002004454
8906002006083,Funfoods Peanut Butter Crunchy,Dr. Oetker,636.4,25.6,20.3,50.3,7.7,,0.864,10.1,,,3,d,125,"Roasted Peanuts (91%), Sugar, Edible Vegetable Fat (Soyabean), lodised Salt. CONTAINS NUT.",https://in.openfoodfacts.org/product/8906002006083
8906002008544,Dr. Oetker Funfoods Peanut Butter,"Dr. Oetker,Funfoods",636.4,25.6,20.3,50.3,7.7,6.1,0.864,10.1,,,3,d,,"Roasted Peanuts (91%), Sugar, Edible Vegetable Fat (Soyabean), lodised Salt.",https://in.openfoodfacts.org/product/8906002008544
8906001022930,Muscle Gainer,,222,25.5,24,2.5,,,,,,5,,unknown,,,https://in.openfoodfacts.org/product/8906001022930
8906089380304,Soklet,Regal foods and Beverages,478,25.5,52,19.25,0,,,5.75,,,3,unknown,50,"Cacao beans, Cacao butter, Skimmed Milk Powder",https://in.openfoodfacts.org/product/8906089380304
8903363006820,Badam Almond Kernels,DMart Swaad,642.21,25.1,11.59,55.05,5.51,0,0.001925,4.66,0,,,d,500,Almond Kernels,https://in.openfoodfacts.org/product/8903363006820
8906143890053,Unsweetened Peanut Butter,The Whole Truth,651,25.1,17.7,53.4,3.43,0,0.065,5.14,0,8.57,1,a,,peanuts 100%,https://in.openfoodfacts.org/product/8906143890053
8901262180429,High Protein Paneer,Amul,170,25,4,6,4,,0.475,4,0.015,,,b,,,https://in.openfoodfacts.org/product/8901262180429
8902082806865,Grandma's Peanut Butter,Grandma's,661,25,30,49,5,,0.465,10,,3,,d,200,,https://in.openfoodfacts.org/product/8902082806865
8904256721745,High Protein Mixture,BB Good Diet,378,25,57,5.5,,,,,,21.5,,unknown,,,https://in.openfoodfacts.org/product/8904256721745
8904296902104,Fabsta Peanut Butter Creamy,Tata,624,25,23,48,6,3,0.7,11,0,,4,d,420,"Peanut (90%), Sugar, Edible Vegetable Fat (Fully Hydrogenated Soyabean Oil), lodised Salt, Emulsifier (INS 471). ALLERGEN ADVICE: Contains Nut & Soy.",https://in.openfoodfacts.org/product/8904296902104
8904327600382,Myfitness Original Peanut Butter (Smooth),Myfitness,625,25,18.8,50,9.38,6.25,0.875,9.38,,6.25,4,c,510,"Roasted Peanuts, Brown Sugar, Pink Himalayan Salt, Permitted Stabilizing Agent (INS 471)",https://in.openfoodfacts.org/product/8904327600382
8904327600931,Myfitness Chocolate peanut butter,,615.625,25,18.75,46.875,9.375,,0.867188,9.375,,6.25,,unknown,510,,https://in.openfoodfacts.org/product/8904327600931
8906050581143,Peanut butter,Fric Bergen,638,25,22.3,50.4,6.15,,0.548,10,,,,e,,,https://in.openfoodfacts.org/product/8906050581143
8906055440568,Organic Peanuts,Organic Tattva,620,25,17,50,4,,0.0125,9,,9,1,b,500,peanuts,https://in.openfoodfacts.org/product/8906055440568
8908003392219,Peanut Butter Crunchy,Happy,625,25,19,50,,,0.875,10,,5,,unknown,,,https://in.openfoodfacts.org/product/8908003392219
8908004238479,Origin nutrition protein,Origin nutrition,140,25,7.7,1.1,,,,,,,,unknown,,,https://in.openfoodfacts.org/product/8908004238479
